Loc_ID,Location,Lat,Lng
LC000001,Boston,42.360278,-71.057778
LC000002,Hong Kong,22.300000,114.200000
LC000003,Guangzhou,23.130000,113.260000
LC000004,Shanghai,31.228611,121.474722
LC000005,Macau,22.166667,113.550000
LC000006,London,51.507222,-0.127500
LC000007,Cairo,30.044444,31.235833
LC000008,Monaco,43.731111,7.420000
LC000009,Ningbo,29.860300,121.624500
LC000010,Fuzhou,26.074300,119.296400
LC000011,Xiamen,24.479600,118.088900
LC000012,Hankou,30.581179,114.272597
LC000013,Jiujiang,29.661000,115.954000
LC000014,Tianjin,39.133600,117.205400
LC000015,Yokohama,35.444167,139.638056
LC000016,Bangkok,13.752500,100.494167
LC000017,Kobe,34.690000,135.195556
LC000018,Beijing,39.906667,116.397500